co_cli;tip_cli;cli_des;ven_des
"003581488       ";"00    ";DISTRIBUIDORA RELOY BELLA VISTA, C.A;OFICINA
"003738913       ";"00    ";CAUCHOS APOLO 15, C.A.;FRANCISCO CARVAJAL
"006114929       ";"00    ";OSCAR ALVARADO;DOUGLAS BOCOURT
"006125863       ";"00    ";MAURICIO CASTILLO;LENIN GONZALEZ
"008619335       ";"05    ";ALMACENADORA LA GUAIRA C.A.;RM OFICINA
"010792092       ";"00    ";KENT MORENO;LENIN GONZALEZ
"012835067       ";"00    ";LENIN GONZALEZ;OFICINA
"014093693       ";"00    ";CARMEN PÉREZ;OFICINA
"016855865       ";"00    ";JUVEMIR TORCAT;OFICINA
"02022061        ";"00    ";SERVICENTRO VEGAS C.A.;ERNESTO PINEDA
"0294374166      ";"00    ";TRANSLIMACOSTA, C.A.;LENIN GONZALEZ
"0298199563      ";"00    ";CAUCHOCASION C.A. Y/O JORGE JIMENEZ;OFICINA
"041315853       ";"00    ";SUSPENSIONES & REPUESTOS STK. CARTA GAVINA, FP;HEMIL GUERRERO
"041946055       ";"00    ";HENRY JOSE RODRIGUEZ REPUESTOS VALENTINA;YOSCAIDI CHACON
"046283429       ";"00    ";MARIA CRISTINA PINZON VILLAMIZAR (INVERSIONES PINZON F.P);RODRIGUEZ JOSE GERARDO
"048382777       ";"00    ";MARLENIS ANTONIA CUMARE;OFICINA
"053716896       ";"00    ";CESAR PAUL NUÑEZ NAVARRO Y/O VARIEDADES PAULIBET;JOSÉ DOMINGO TORTOLERO ROMÁN
"056278857       ";"00    ";FRANCO COROMOTO ANTONIO CONTE PONTRELLI;ALEXANDER REVEROL
"060001927       ";"00    ";AGRO RUEDAS SAN CARLOS C.A.;ALESSSANDRO MONTANARI
"060825951       ";"00    ";MARIO JOSE GREGORIO PEREZ GARCIA;ALEXANDER REVEROL
"061325669       ";"00    ";LUIS GABRIEL DE JESUS GARROTE GONZALEZ;OFICINA/ LUIS PULIDO
"065476262       ";"00    ";LILIAN TAMAIBA ACOSTA JIMENEZ;DORIALIS MUCHELL
"070125098       ";"00    ";CONSTRUCTORA HERMANOS FURLANETO C.A. (CONFURCA);OFICINA
"070205369       ";"00    ";SERVICIOS ISCAR, C.A.;RM OFICINA
"070285630       ";"00    ";TRANS-COAL DE VENEZUELA C.A.;OFICINA
"070345303       ";"00    ";TOMAS GLODE;MERCADOLIBRE
"070917714       ";"00    ";VICENTE LA ROCA BASSALO Y/O INVERSIONES LA ROCA FP;JOEL PETIT
"070993763       ";"00    ";SERVICIO UNIDO PADRE CLARET;JOEL PETIT
"072323927       ";"00    ";NOLBERTO URGENCIO RODRIGUEZ DIAZ;ALEXANDER REVEROL
"072513041       ";"00    ";LUNCHERIA ARENITA PLAYITA ORTEGA, F.P.;RODRIGUEZ JOSE GERARDO
"074140846       ";"00    ";HECTOR ANTONIO QUINTERO Y/O INVERSIONES HOGY QUINTERO SFP;HEMIL GUERRERO
"075011449       ";"00    ";RECTIFICADORA MARACAY C.A;KELLENYN GRITTA SAKKAL GUERRERO
"075033736       ";"00    ";RENOVADORA CAUCA C.A.;OFICINA
"075045289       ";"00    ";ALFARERIA ALFAHIERRO, C.A.;"pendiente "
"075066367       ";"00    ";PRE MEZCLADO TECOAS C A;"pendiente "
"075074025       ";"00    ";LUBRICANTES LA BARRACA C A;STEFANNY JUDITH DUARTE ALAMBARRIO
"075092317       ";"00    ";TALLER TAZIO S.R.L.;JOEL PETIT
"075139003       ";"00    ";CORPORACION LELLI DE VENEZUELA, C.A.;OFICINA
"075146000       ";"00    ";LUBRICANTES MICHELENA, C.A.;EDUARDO LUIS PULIDO LEON
"075159977       ";"00    ";VENEZOLANA DE COBERTURAS, C.A. (VENCOR);YOSCAIDI CHACON
"075193687       ";"02    ";TRANSPORTE INTERMUNDIAL S.A.;RM OFICINA
"075291743       ";"00    ";HERCAR C.A.;JOEL PETIT
"075301682       ";"00    ";ASOC CIVIL UNION DE CONDUCTORES TURMERO MARACAY;JOHENDER GIRO
"075303447       ";"00    ";LUBRICANTES JATMAR MARIA MARTINEZ, F.P;HEMIL GUERRERO
"075324641       ";"00    ";VEPROCA, C.A.;MARCELO SERINO
"075326687       ";"00    ";BOYACAUCHOS C.A.;JOSÉ DOMINGO TORTOLERO ROMÁN
"075379365       ";"00    ";CORIGAS C.A;ALEXANDER REVEROL
"075397436       ";"00    ";TRANSPORTE EL CANARIO;OFICINA/ LUIS PULIDO
"075433513       ";"00    ";PUERTO LUBRIC C.A.;RICARDO NATERA
"075439147       ";"00    ";TURBO SILENCIADORES ACCESORIOS CARABOBO C.A. (TURSILACCA, C.A.);JOSÉ DOMINGO TORTOLERO ROMÁN
"075458508       ";"00    ";TOYOVAL C.A.;MARISOL DEL CARMEN FIGUERA RODRIGUEZ
"075474279       ";"00    ";CAUCHOS SANTA ROSA C.A.;MARIA ESCORIHUELA
"075476115       ";"00    ";ARRENDA GRUA S. A.;JOEL PETIT
"075504256       ";"00    ";REPUESTOS Y LUBRICANTES ANDREBEL GOMEZ,  F.P;JOSÉ DOMINGO TORTOLERO ROMÁN
"075592646       ";"00    ";TRANSPORTE LOS MOROCHOS DEL CENTRO C.A.;REYNALDO HAHN
"075600495       ";"00    ";TECNO REFRIGERACION Y REBOBINADOS MC S A;OFICINA/ LUIS PULIDO
"075802365       ";"00    ";MULTISERVICIOS DON LUIS C.A;JOEL PETIT
"075818989       ";"00    ";AUTO LAVADO DON JUAN C.A.;YOSCAIDI CHACON
"075825250       ";"00    ";REPRESENTACIONES JOLIFILTER, C.A;ALEXANDER REVEROL
"075847482       ";"00    ";CAUCHOS DON BOSCO II C.A.;HEMIL GUERRERO
"075867777       ";"00    ";SERVI AUTOPARTE C.A;"pendiente "
"075868404       ";"00    ";AUTO REPUESTOS EL SUPERIOR C A;RODRIGUEZ JOSE GERARDO
"076841663       ";"00    ";AUTOMECANICA LA PASTORA;DOUGLAS BOCOURT
"079212217       ";"00    ";ELIO VALENTIN VILLAZAN ELJURE;LENIN GONZALEZ
"080012283       ";"00    ";CAYETANO FARIAS E HIJOS C.A.;JOEL PETIT
"080281632       ";"01    ";RENOVADOS ORIENTE C.A.;RM OFICINA
"080338847       ";"00    ";INGENERIA SERGEP, C.A.;OFICINA
"085001034       ";"00    ";MARINA LA CUEVITA, C.A.;REYNALDO HAHN
"085038667       ";"00    ";COVENCAUCHO INDUSTRIAS S.A.;JOEL PETIT
"085183035       ";"00    ";PANIFICADORA NACIONAL C.A.;JOSE FELIX ALVAREZ
"085186115       ";"00    ";AUTOMOTRIZ SUPERCA C.A.;JOSE FELIX ALVAREZ
"085191585       ";"00    ";HACIENDA LA TAPARITA S.A.;FRANCISCO JAVIER OJEDA RAMIREZ
"085275975       ";"00    ";AGRICOLA MORROCOY C.A.;FRANCISCO JAVIER OJEDA RAMIREZ
"086881710       ";"00    ";INVERSIONES FERNANDO OROPEZA M.F.P;RODRIGUEZ JOSE GERARDO
"094417682       ";"00    ";HERNANDEZ PARTS, F.P.;HEMIL GUERRERO
"094426401       ";"00    ";MULTSERVICIOS REYES GR;JOSÉ DOMINGO TORTOLERO ROMÁN
"095022595       ";"00    ";COMERCIAL LA VICTORIA C.A.;IVAN MACUCHA
"095107493       ";"00    ";LUBRITEX C.A.;RM OFICINA
"096400604       ";"00    ";JOSE GERARDO RODRIGUEZ;OFICINA/ LUIS PULIDO
"096755712       ";"00    ";ALEXANDER ANTONIO REVEROL;OFICINA/ LUIS PULIDO
"098290881       ";"00    ";ABDY MANUEL PEREIRA BRICEÑO;REYNALDO HAHN
"10007882        ";"00    ";ALECIO PAOLI FRANCO;OFICINA
"100397915       ";"00    ";REINALDO ANTONIO PACHECO Y/O MOTO REPUESTOS R&J;GABRIEL RAMIREZ
"10043348        ";"00    ";JOSE GREGORIO ACOSTA;OFICINA
"10065478        ";"00    ";JOSE GUTIERREZ;RM OFICINA
"10070455        ";"00    ";HENRY MURADIAN R;ALESSSANDRO MONTANARI
"10092239        ";"00    ";YAIMAR REQUIZ;OFICINA
"10093657        ";"00    ";ALEXANDER CAMPONER;DOUGLAS BOCOURT
"10096824        ";"00    ";JOSE LOPEZ;JOSE FELIX ALVAREZ
"10099545        ";"00    ";VICTOR DE GUVEIA;JOSE FELIX ALVAREZ
"10111832        ";"00    ";BANDI SALAS;DOUGLAS BOCOURT
"10116309        ";"00    ";NESTOR MEDRANO;OFICINA
"10121345        ";"00    ";RICARDO GONCALVES;DOUGLAS BOCOURT
"101461544       ";"00    ";JOSE GREGORIO ASARO BUSTAMANTE;OFICINA
"10182042        ";"00    ";CARLOS VEREA;OFICINA
"10182552        ";"00    ";ADRIANA MIJARES;DOUGLAS BOCOURT
"10186117        ";"00    ";FRANKLIN MATOS;JOSE FELIX ALVAREZ
"10221885        ";"00    ";ERASMO DIAZ;OFICINA
"10228628        ";"00    ";ENZO SANCHEZ;OFICINA/ LUIS PULIDO
"102306364       ";"00    ";BRICEÑO BRICEÑO REINALDO ELEAZAR;DORIALIS MUCHELL
"10234910        ";"00    ";MELVIS CIVIRA;OFICINA
"10273795        ";"00    ";JOSE ALVAREZ;OFICINA
"10279663        ";"00    ";MARIO JOSE TERAN CAPOTE;OFICINA/ LUIS PULIDO
"10280880        ";"00    ";ELIZABETH KLARK;OFICINA
"10280881        ";"00    ";VICENTE PISTILLI;OFICINA
"10284416        ";"00    ";EMILIO RODRIGUEZ;JOSE FELIX ALVAREZ
"10330101        ";"00    ";ERWIN GONCALVES;DOUGLAS BOCOURT
"10330419        ";"00    ";PATRIK FAULHABER;RM OFICINA
"10333117        ";"00    ";JORGE GARCIA;IVAN MACUCHA
"10333727        ";"00    ";HELGA APONTE;DOUGLAS BOCOURT
"103368339       ";"00    ";DELGADO CEDEÑO MARILU;GABRIEL RAMIREZ
"103373235       ";"00    ";VORG MORRISON CLAUDIA MARIA CELINA;GABRIEL RAMIREZ
"10337911        ";"00    ";HUMBERTO D´IGNAZI;OFICINA
"10337982        ";"00    ";FRANCISCO FERRER;OFICINA
"10339220        ";"00    ";CARMELA AZPURUA;OFICINA
"10339227        ";"00    ";ANTONIO PARISI;OFICINA
"10345443        ";"00    ";JORGE ANDRES ABATE;DOUGLAS BOCOURT
"10345900        ";"00    ";CARLOS RODRIGUEZ;OFICINA
"10347432        ";"00    ";REINA RAMIREZ;OFICINA
"10353907        ";"00    ";CARLOS CAMACHO;OFICINA
"10358736        ";"00    ";CIRO MURO;OFICINA
"10367016        ";"00    ";CARLOS GUADARRAMA;OFICINA
"103723163       ";"00    ";CAMACARO CASTILLO CARLOS ALBERTO Y/O LUBRICANTES Y REPUESTOS 19;ELVIS MERCADO
"10376638        ";"00    ";HECTOR RANGEL;OFICINA
"10378511        ";"00    ";TIBISAY RODRIGUEZ;DOUGLAS BOCOURT
"10378514        ";"00    ";TIBISAY RODRIGUEZ;DOUGLAS BOCOURT
"10379996        ";"00    ";LISSETH MEJIAS;OFICINA
"10381141        ";"00    ";ALEXIS MOYA;JOSE FELIX ALVAREZ
"10382043        ";"00    ";JUAN VIEIRA;LENIN GONZALEZ
"10382756        ";"00    ";MIGUEL ANGEL GONZALEZ;JOHENDER GIRO
"10388672        ";"00    ";JOSE LUIS GUTIERREZ RONDON;OFICINA
"10410411        ";"00    ";JOSE PALOMINO;JOSE FELIX ALVAREZ
"10446282        ";"00    ";NELSON GARCIA;OFICINA
"10448270        ";"00    ";IVAN MACUCHA JR;OFICINA
"10458963        ";"00    ";OLGA RUIZ;RM OFICINA
"10465417        ";"00    ";SANTOS MAITA;DOUGLAS BOCOURT
"10472125        ";"00    ";RICARDO SILVESTRE;OFICINA
"10473125        ";"00    ";RICARDO SILVESTRI;JOSE FELIX ALVAREZ
"10479654        ";"00    ";HENRY EGURROLA;JOHENDER GIRO
"10481907        ";"00    ";HEITHER MANUEL PARDO LOPEZ;OFICINA
"10482902        ";"00    ";SAID JIMENEZ;DOUGLAS BOCOURT
"10484013        ";"00    ";FREDDY JAVIER PAREDES;OFICINA
"10487834        ";"00    ";ONEIBER VASQUEZ;OFICINA
"10489380        ";"00    ";NELSON SEGOVIA;OFICINA
"10489574        ";"00    ";EDGAR CONTRERAS;OFICINA
"10500758        ";"00    ";MARCOS PEREZ;ALESSSANDRO MONTANARI
"10505643        ";"00    ";OSCAR GUARDIA;OFICINA
"10507726        ";"00    ";RICHARD FARIÑEZ;MARIO VILORIA
"10511574        ";"00    ";RICHARD PINEDA;OFICINA
"10513169        ";"00    ";FREDDY TIRADO;OFICINA
"10518528        ";"00    ";RAFAEL IGNACIO ZAMORA AGUIRRE;OFICINA
"10524687        ";"00    ";ANTONIO DI LEONARDO;OFICINA
"10528496        ";"00    ";OWILL NAVARRO;DOUGLAS BOCOURT
"10531645        ";"00    ";LUIS DE ALMEIDA;MERCADOLIBRE
"10532539        ";"00    ";DOREAN CORDERO;OFICINA
"10536936        ";"00    ";NOHEMI VERGARA;OFICINA
"10537316        ";"00    ";CARLOS DO FAIAL;OFICINA
"10541116        ";"00    ";GERMAN ACOSTA;JOHENDER GIRO
"10551758        ";"00    ";YRINA LOVERA;RM OFICINA
"10568905        ";"00    ";FENIEL CAUTIÑO;DOUGLAS BOCOURT
"10578961        ";"00    ";JOSÉ GREGORIO OVALLES BREINDEMVIACH;OFICINA
"10580015        ";"00    ";RAMON HERRERA;OFICINA
"10625355        ";"00    ";JOEL DAVID MATA RIVERO;OFICINA
"10626595        ";"00    ";SIMON VARGAS;OFICINA
"10627632        ";"00    ";LUIS GUZMAN;DOUGLAS BOCOURT
"10665357        ";"00    ";ANA C. ARRAIZ;OFICINA
"10665615        ";"00    ";LUIS DARIO ASCANIO;OFICINA
"10681108        ";"00    ";JOSE RAFAEL LOPEZ;OFICINA
"10691873        ";"00    ";ELIAS MOLINA;JOHENDER GIRO
"10696521        ";"00    ";RICHARD ISLER;DOUGLAS BOCOURT
"10726775        ";"00    ";JOSE GREGORIO PEREZ GREGORIO;JOSE FELIX ALVAREZ
"107278415       ";"00    ";JOSE ENRIQUE LINARES GARCIA Y/O INVERSIONES LINARES 1973, FP;JOEL PETIT
"10730992        ";"00    ";JOHNNY ESPINOZA;OFICINA/ LUIS PULIDO
"107349088       ";"00    ";AUTOPERIQUITO CANNIZZO Y/O PABLO JOSE CANNIZZO SANCHEZ;ELVIS MERCADO
"107362866       ";"00    ";CHIRINOS ZABALA MIRELBA COROMOTO;JOSÉ DOMINGO TORTOLERO ROMÁN
"10780039        ";"00    ";EDUARDO VARGAS;OFICINA
"10782737        ";"00    ";ELVIS FIERRO;JOHENDER GIRO
"1078466         ";"00    ";ARTURO GONZALEZ;OFICINA
"10785016        ";"00    ";ARTURO MARIN;DOUGLAS BOCOURT
"10799009        ";"00    ";ROSANNA TYWANG;OFICINA
"10806916        ";"00    ";HENRY VILORIA;DOUGLAS BOCOURT
"10808323        ";"00    ";MAIKE MARTINHO;OFICINA
"10813142        ";"00    ";ADOLFO PEREZ;OFICINA
"10818945        ";"00    ";MAURO PADRON;OFICINA
"10858003        ";"00    ";YARELY MERIÑO;OFICINA
"10868192        ";"00    ";JUAN CABRERA;JOSE FELIX ALVAREZ
"1087089         ";"00    ";GIUSSEPE CLEMENTE;OFICINA
"10870896        ";"00    ";LUIS ROJAS USECHE;LENIN GONZALEZ
"10871710        ";"00    ";ESTHER MERLO;OFICINA
"10872043        ";"00    ";INDIRA ALBA PAEZ;OFICINA
"10875546        ";"00    ";JUAN MANUEL CONTRERAS;JOSE FELIX ALVAREZ
"10882716        ";"00    ";GIOVANNY COLONICO;OFICINA
"10886568        ";"00    ";YENIS MEDINA;OFICINA
"10891551        ";"00    ";ITALO MAZZA;JOHENDER GIRO
"10907816        ";"00    ";SEBASTIANO D  LUCA;DOUGLAS BOCOURT
"109702740       ";"00    ";LOYALTY TATTOO STUDIO, C.A.;FRANCISCO CARVAJAL
"10970332        ";"00    ";FRANKLIN GUTIERREZ;OFICINA
"10978754        ";"00    ";JUAN JOSE HERNANDEZ;OFICINA
"110056547       ";"00    ";LEONARDO ENRIQUE PEÑA MAURERA;ALEXANDER REVEROL
"11006580        ";"00    ";CELSO ROMERO;OFICINA
"11025495        ";"00    ";JOSE TAVARES;OFICINA
"110304346       ";"00    ";VICTORIO FERRARA;MERCADOLIBRE
"11030916        ";"00    ";LUIS JIMINEZ;DOUGLAS BOCOURT
"11031173        ";"00    ";ISAAC HERNANDEZ;DOUGLAS BOCOURT
"11032100        ";"00    ";REINALDO PEREZ;OFICINA
"11034541        ";"00    ";FREDDY GONZALEZ;FRANCISCO CARVAJAL
"11035006        ";"00    ";DANIEL LUGO;JOHENDER GIRO
"11052168        ";"00    ";CESAR SANCHEZ;OFICINA
"11055345        ";"00    ";JAIME FERNANDEZ;OFICINA
"11072204        ";"00    ";GUILLERMO NG;DOUGLAS BOCOURT
"110861296       ";"00    ";TALERO CARDENAS WILLIAM;MARIALEXANDRA MEDINA ESCALANTE
"11114571        ";"00    ";JOSE VARELA;JOHENDER GIRO
"11131103        ";"00    ";ARGENIS MONTILLA;JOHENDER GIRO
"11134736        ";"00    ";JAVIER DELGADO;FELIX URBINA
"11180012        ";"00    ";GILBERT ORTA;OFICINA
"11197574        ";"00    ";JERRY BAZAN;JOSE FELIX ALVAREZ
"11199843        ";"00    ";PEDRO MALDONADO;OFICINA
"11201308        ";"00    ";FRANKLIN CHACON;FELIX URBINA
"11202174        ";"00    ";ROMMEL SANCHEZ;JOSE FELIX ALVAREZ
"11203038        ";"00    ";EDGAR GARCIA;JOSE FELIX ALVAREZ
"11211767        ";"00    ";JORGE BITAR;OFICINA
"11217989        ";"00    ";VICTOR GUERRERO PEREZ;IVAN MACUCHA
"11225325        ";"00    ";CRISTIAN CASTRO;OFICINA
"11226236        ";"00    ";EVELYN CARRERA;DOUGLAS BOCOURT
"11228412        ";"00    ";SAUL REQUENA;JOHENDER GIRO
"11231913        ";"00    ";MARISELA LEITE;OFICINA
"11234389        ";"00    ";HENRY BENEVIDES;OFICINA
"11262106        ";"00    ";DOMINGO AREAS;OFICINA
"11284947        ";"00    ";GUILLERMO QUINTERO;OFICINA/ LUIS PULIDO
"11305270        ";"00    ";VERONICA ALCESTE;OFICINA
"11305738        ";"00    ";AMERICO MELEAN VILLANUEVA;OFICINA
"11306173        ";"00    ";PABLO GONZALEZ;OFICINA
"11306250        ";"00    ";DANIEL QUINTERO;OFICINA
"11306717        ";"00    ";CARLOS BASTEIRO;OFICINA
"11307425        ";"00    ";JUAN ÑAÑEZ;DOUGLAS BOCOURT
"11308000        ";"00    ";RAFAEL GARCIA;OFICINA
"11310078        ";"00    ";OSCAR POLANIA;OFICINA
"11311952        ";"00    ";HEINRICH BOELCKE;FRANCISCO CARVAJAL
"11312382        ";"00    ";RAUL NARCISO;OFICINA
"11312565        ";"00    ";SANDRA CICCARELLI;OFICINA
"11313250        ";"00    ";RAFAEL GREGORIO PEÑA CACIQUE (ZIAD EUROMASTER);OFICINA
"11314735        ";"00    ";JOHANN PERE;DOUGLAS BOCOURT
"11338274        ";"00    ";FREDDY TOVAR;OFICINA
"11348957        ";"00    ";CARLOS LOPEZ;OFICINA/ LUIS PULIDO
"11354197        ";"00    ";VICTOR GIL;OFICINA
"11356720        ";"00    ";LUIS BORGES;OFICINA
"11359499        ";"00    ";JOSE FELIX ALVAREZ;MERCADOLIBRE
"113631518       ";"00    ";INVERSIONES GUTI&GUERRE;ALEXANDER REVEROL
"11379012        ";"00    ";LUIS CARLOS LABRADOR GOMEZ;OFICINA
"11406172        ";"00    ";RAFAEL PRADA;OFICINA
"11410571        ";"00    ";AGUSTIN GOMEZ;OFICINA
"11411130        ";"00    ";JAIRO BARRETO;JOSE FELIX ALVAREZ
"11425783        ";"00    ";ALESANDRO MONTANARI;OFICINA
"11431983        ";"00    ";LUIS SALAS;OFICINA
"11471775        ";"00    ";SALVATORE CLEMENTE;OFICINA
"11480858        ";"00    ";OSCAR ALVAREZ;OFICINA
"11485165        ";"00    ";MIGUEL ABREU;OFICINA
"11501303        ";"00    ";ELVA CEGARRA;OFICINA
"11514796        ";"00    ";RICHARD RAMOS;PAOLO FALCONE
"115204293       ";"00    ";HENRY JOSE ROJAS;"pendiente "
"11546789        ";"00    ";JUAN RAMIREZ;OFICINA
"11550472        ";"00    ";EDINSON SAENZ;DOUGLAS BOCOURT
"11551713        ";"00    ";JORGE UZCATEGUI;OFICINA
"11552916        ";"00    ";AUGUSTO SARTONI;JOSE FELIX ALVAREZ
"11554799        ";"00    ";ISRAEL SANTOS;OFICINA
"11555424        ";"00    ";JOSE MADRIZ;JOSE FELIX ALVAREZ
"11559091        ";"00    ";SCHARER ORTIZ;OFICINA
"11560814        ";"00    ";JOSE RODOLFO AVILA;JOSE FELIX ALVAREZ
